key_figure,definition
"Perheiden lukumäärä, 2020","Perheen muodostavat yhdessä asuvat avio- tai avoliitossa olevat tai parisuhteensa rekisteröineet henkilöt ja heidän lapsensa, jompikumpi vanhemmista lapsineen sekä avio- ja sekä parisuhteensa rekisteröineet henkilöt, joilla ei ole lapsia. Samaa sukupuolta olevat henkilöt ovat voineet rekisteröidä parisuhteensa 1.3.2002 ja 28.2.2017 välisenä aikana. Avioliittolain muutos tuli voimaan 1.3.2017, mistä lähtien samaa sukupuolta olevat ovat voineet solmia avioliiton ja samalla samaa sukupuolta olevien parisuhteen rekisteröinnistä luovuttiin. Lähde: Perhetilasto, Tilastokeskus."
"Asuntokuntien lukumäärä, 2021","Asuntokunnan muodostavat kaikki samassa asuinhuoneistossa vakinaisesti asuvat henkilöt. Väestötietojärjestelmän mukaan vakinaisesti laitoksissa kirjoilla olevat, asunnottomat, ulkomailla ja tietymättömissä olevat henkilöt eivät muodosta asuntokuntia. Lähde: Asunnot ja asuinolot, Tilastokeskus."
"Rivi- ja pientaloissa asuvien asuntokuntien osuus, %, 2021","Rivi- ja pientaloissa asuvien asuntokuntien osuus kaikista asuntokunnista. Asuntokunnan muodostavat kaikki samassa asuinhuoneistossa vakinaisesti asuvat henkilöt. Väestötietojärjestelmän mukaan vakinaisesti laitoksissa kirjoilla olevat, asunnottomat, ulkomailla ja tietymättömissä olevat henkilöt eivät muodosta asuntokuntia. Rivitalot ovat asuinrakennuksia, joissa on vähintään kolme yhteen kytkettyä pientaloa. Pientaloilla tarkoitetaan omakotitaloja, paritaloja sekä kaksikerroksisia omakotitaloja, joissa on kaksi asuntoa. Lähde: Asunnot ja asuinolot, Tilastokeskus."
"Vuokra-asunnoissa asuvien asuntokuntien osuus, %, 2020","Vuokra-asunnoissa asuvien asuntokuntien osuus kaikista asuntokunnista. Asuntokunnan muodostavat kaikki samassa asuinhuoneistossa vakinaisesti asuvat henkilöt. Väestötietojärjestelmän mukaan vakinaisesti laitoksissa kirjoilla olevat, asunnottomat, ulkomailla ja tietymättömissä olevat henkilöt eivät muodosta asuntokuntia. Vuokra-asunnolla tarkoitetaan asuntoa, jota asukas hallitsee huoneenvuokrasopimuksen perusteella, jolloin vuokralainen maksaa vuokraa huoneiston käyttöoikeudesta ja siihen liittyvistä etuuksista. Vuokra-asunnoiksi luokitellaan aravavuokra-, korkotukivuokra-  ja muut vuokra- asunnot. Lähde: Asunnot ja asuinolot, Tilastokeskus."
"Vähintään toisen asteen tutkinnon suorittaneiden osuus 15 vuotta täyttäneistä, %, 2020","Toisen asteen tutkinnon suorittaneilla tarkoitetaan ylioppilastutkinnon, ammatillisen perustutkinnon ja ammattitutkinnon suorittaneita. Tässä sisältää myös erikoisammattitutkinnot. Lähde: Väestön koulutusrakenne, Tilastokeskus."
"Korkea-asteen tutkinnon suorittaneiden osuus 15 vuotta täyttäneistä, %, 2020","Korkea-asteen tutkinnon suorittaneisiin luetaan alimman korkea-asteen, alemman ja ylemmän korkeakouluasteen ja tutkijakouluasteen tutkinnon suorittaneet. Lähde: Väestön koulutusrakenne, Tilastokeskus."
"Alueella asuvan työllisen työvoiman määrä, 2020","Alueella asuvalla työllisellä työvoimalla tarkoitetaan kaikkia tällä alueella asuvia työllisiä riippumatta siitä, missä henkilön työpaikka sijaitsee. Alueella asuva työllinen työvoima muodostaa ns. työllisen yöväestön. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Työllisyysaste, %, 2020","Työllisyysaste on 18-64-vuotiaiden työllisten osuus samanikäisestä väestöstä.  Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Asuinkunnassaan työssäkäyvien osuus, %, 2020","Asuinkunnassaan työssäkäyvien osuus työllisestä työvoimasta tarkoittaa omassa asuinkunnassaan työssäkäyvien osuutta kaikista kyseisessä kunnassa asuvista työllisistä. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Työttömien osuus työvoimasta, %, 2020","Työvoimaan kuuluvat 15-74-vuotiaat henkilöt, jotka vuoden viimeisellä viikolla olivat työllisiä tai työttömiä. Vuodesta 2005 lähtien työllisten alaikäraja on ollut 18 vuotta. Aikasarjan vertailukelpoisuuden vuoksi työttömyysaste on laskettu tässä 18-74-vuotiaasta väestöstä. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Eläkeläisten osuus väestöstä, %, 2020","Eläkeläisiksi katsotaan kaikki ne, jotka Kansaneläkelaitoksen tai Eläketurvakeskuksen tietojen mukaan saavat eläkettä (pl. perhe-eläke, osa-aikaeläke) eivätkä ole ansiotyössä. Kaikki yli 74-vuotiaat on päätelty eläkeläisiksi. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Taloudellinen huoltosuhde, 2020","Väestörakennetta mitataan ns. taloudellisella huoltosuhteella, jossa lasketaan kuinka monta työvoiman ulkopuolella olevaa ja työtöntä on sataa työllistä kohti. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Alueella olevien työpaikkojen lukumäärä, 2020","Tietyllä alueella työskentelevien henkilöiden lukumäärää voidaan käyttää kuvaamaan työpaikkojen lukumäärää tällä alueella. Jokaisen työllisen henkilön on tällöin ajateltu muodostavan yhden työpaikan. Osa-aikaistakin työtä tekevä henkilö muodostaa laskennallisesti yhden työpaikan. Työsuhteet voivat olla luonteeltaan myös tilapäisiä ja lyhytaikaisia. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Alkutuotannon työpaikkojen osuus, %, 2020","Tietyllä alueella työskentelevien henkilöiden lukumäärää voidaan käyttää kuvaamaan työpaikkojen lukumäärää tällä alueella. Jokaisen työllisen henkilön on tällöin ajateltu muodostavan yhden työpaikan. Alkutuotanto käsittää TOL 2008 -toimialaluokituksen luokan: A Maatalous, metsätalous ja kalatalous. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Jalostuksen työpaikkojen osuus, %, 2020","Tietyllä alueella työskentelevien henkilöiden lukumäärää voidaan käyttää kuvaamaan työpaikkojen lukumäärää tällä alueella. Jokaisen työllisen henkilön on tällöin ajateltu muodostavan yhden työpaikan. Jalostus käsittää TOL 2008 -toimialaluokituksen luokat: B Kaivostoiminta ja louhinta, C Teollisuus, D Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta, E Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito, F Rakentaminen. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Palvelujen työpaikkojen osuus, %, 2020","Tietyllä alueella työskentelevien henkilöiden lukumäärää voidaan käyttää kuvaamaan työpaikkojen lukumäärää tällä alueella. Jokaisen työllisen henkilön on tällöin ajateltu muodostavan yhden työpaikan. Palvelut käsittää TOL 2008 -toimialaluokituksen luokat: G Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus, H Kuljetus ja varastointi, I Majoitus- ja ravitsemistoiminta, J Informaatio ja viestintä, K Rahoitus- ja vakuutustoiminta, L Kiinteistöalan toiminta, M Ammatillinen, tieteellinen ja tekninen toiminta, N Hallinto- ja tukipalvelutoiminta, O Julkinen hallinto ja maanpuolustus, pakollinen sosiaalivakuutus, P Koulutus, Q Terveys- ja sosiaalipalvelut, R Taiteet, viihde ja virkistys, S Muu palvelutoiminta, T Kotitalouksien toiminta työnantajina. Lähde: Työssäkäyntitilasto, Tilastokeskus."
"Työpaikkaomavaraisuus, 2020","Työpaikkaomavaraisuus ilmaisee alueella työssäkäyvien ja alueella asuvan työllisen työvoiman määrän välisen suhteen. Jos työpaikkaomavaraisuus on yli 100, on alueen työpaikkojen lukumäärä suurempi kuin alueella asuvan työllisen työvoiman lukumäärä. Jos taas työpaikkaomavaraisuus on alle 100, on tilanne päinvastainen."
"Vuosikate, euroa/asukas, 2020","Väestötietona on käytetty alueella asuvan väestön määrää kunkin vuoden lopussa. Vuosikate osoittaa sen tulorahoituksen, joka juoksevien menojen maksamisen jälkeen jää jäljelle käytettäväksi investointeihin, sijoituksiin ja lainojen lyhennyksiin. Vuosikate on keskeinen kateluku arvioitaessa tulorahoituksen riittävyyttä. Perusoletus on, että tulorahoitus on riittävä, jos vuosikate on vähintään käyttöomaisuuden poistojen suuruinen. Lähde: Kuntatalous, Tilastokeskus."
"Lainakanta, euroa/asukas, 2020","Väestötietona on käytetty alueella asuvan väestön määrää kunkin vuoden lopussa. Lainakanta on: Vieras pääoma - (Saadut ennakot + Ostovelat + Siirtovelat + Muut velat) kunnan taseesta. Kunnan lainakannalla tarkoitetaan korollista vierasta pääomaa. Lähde: Kuntatalous, Tilastokeskus"
"Konsernin lainakanta, euroa/asukas, 2020","Väestötietona on käytetty alueella asuvan väestön määrää kunkin vuoden lopussa. Lainakanta on: Vieras pääoma - (Saadut ennakot + Ostovelat + Siirtovelat + Muut velat) konsernin taseesta. Konsernin lainakannalla tarkoitetaan korollista vierasta pääomaa. Lähde: Kuntatalous, Tilastokeskus."
"Opetus- ja kulttuuritoiminta yhteensä, nettokäyttökustannukset, euroa/asukas, 2020","Väestötietona on käytetty alueella asuvan väestön määrää kunkin vuoden lopussa. Nettokäyttökustannukset = käyttökustannukset - käyttötuotot. Käyttötuotot = toimintatuotot yhteensä + valmistevarastojen muutos + valmistus omaan käyttöön + vyörytystuotot. Lähde: Kuntatalous, Tilastokeskus."
"Sosiaali- ja terveystoiminta yhteensä, nettokäyttökustannukset, euroa/asukas, 2020","Väestötietona on käytetty alueella asuvan väestön määrää kunkin vuoden lopussa. Nettokäyttökustannukset = käyttökustannukset - käyttötuotot. Käyttötuotot = toimintatuotot yhteensä + valmistevarastojen muutos + valmistus omaan käyttöön + vyörytystuotot. Lähde: Kuntatalous, Tilastokeskus"
