key_figure,definition
Relativt sysselsättningstal,"Det relativa sysselsättningstalet är andelen 18–64-åriga sysselsatta av befolkningen i samma ålder.  Källa: Sysselsättningsstatistik, Statistikcentralen."
Andelen personer som arbetar i sin bostadskommun,"Andelen personer som arbetar i sin bostadskommun av den sysselsatta arbetskraften avser andelen som arbetar i sin bostadskommun av alla sysselsatta som bor i den aktuella kommunen. Källa: Sysselsättningsstatistik, Statistikcentralen."
Arbetslösas andel av arbetskraften,"Till arbetskraften hör alla 15–74-åringar som under årets sista vecka antingen var sysselsatta eller arbetslösa. Fr.o.m. år 2005 har den undre åldersgränsen för sysselsatta varit 18 år. P.g.a. tidsseriens jämförbarhet har arbetslösas andel av arbetskraften beräknats utgående från den här 18–74-åriga befolkningen. Källa: Sysselsättningsstatistik, Statistikcentralen."
Andelen pensionärer av befolkningen,"Som pensionär räknas alla som enligt uppgifter från Folkpensionsanstalten eller Pensionsskyddscentralen lyfter pension (exkl. familjepension, deltidspension) och som inte förvärvsarbetar. Alla som fyllt 74 år har betraktats som pensionärer. Källa: Sysselsättningsstatistik, Statistikcentralen."
Ekonomisk försörjningskvot,"Befolkningsstrukturen mäts med den s.k. ekonomiska försörjningskvoten, där man räknar hur många personer utanför arbetskraften och arbetslösa det finns per hundra sysselsatta. Källa: Sysselsättningsstatistik, Statistikcentralen."
Antalet arbetsplatser i kommunen,"Antalet personer som arbetar inom ett visst område kan användas för att beskriva antalet arbetsplatser i området. Man tänker sig då att varje sysselsatt person bildar en arbetsplats. På så sätt bildar också deltidsarbetande personer en arbetsplats. Anställningsförhållanden kan också vara av tillfällig och kortvarig natur. Källa: Sysselsättningsstatistik, Statistikcentralen."
Andelen arbetsplatser inom primärproduktionen,"Antalet personer som arbetar inom ett visst område kan användas för att beskriva antalet arbetsplatser i området. Man tänker sig då att varje sysselsatt person bildar en arbetsplats. På basis av näringsgrensindelningen TOL 2008 omfattar primärproduktion klassen: A Jordbruk, skogsbruk och fiske. Källa: Sysselsättningsstatistik, Statistikcentralen."
Andelen arbetsplatser inom förädling,"Antalet personer som arbetar inom ett visst område kan användas för att beskriva antalet arbetsplatser i området. Man tänker sig då att varje sysselsatt person bildar en arbetsplats. På basis av näringsgrensindelningen TOL 2008 omfattar förädling klasserna: B Utvinning av mineral, C Tillverkning, D Försörjning av el, gas, värme och kyla och E Vattenförsörjning; avloppsrening, avfallshantering och sanering, F Byggverksamhet. Källa: Sysselsättningsstatistik, Statistikcentralen."
Andelen arbetsplatser inom tjänster,"Antalet personer som arbetar inom ett visst område kan användas för att beskriva antalet arbetsplatser i området. Man tänker sig då att varje sysselsatt person bildar en arbetsplats. På basis av näringsgrensindelningen TOL 2008 omfattar tjänster klasserna: G Handel; reparation av motorfordon och motorcyklar, H Transport och magasinering, I Hotell- och restaurangverksamhet, J Informations- och kommunikationsverksamhet, K Finans- och försäkringsverksamhet, L Fastighetsverksamhet, M Verksamhet inom juridik, ekonomi, vetenskap och teknik, N Uthyrning, fastighetsservice, resetjänster och andra stödtjänster, O Offentlig förvaltning och försvar; obligatorisk socialförsäkring, P Utbildning, Q Vård och omsorg; sociala tjänster, R Kultur, nöje och fritid, S Annan serviceverksamhet, T Förvärvsarbete i hushåll. Källa: Sysselsättningsstatistik, Statistikcentralen."
Arbetsplatssufficiens,Arbetsplatssufficiens anger förhållandet mellan antalet personer som arbetar inom området och antalet sysselsatta som är bosatta inom området. Om arbetsplatssufficiensen är över 100 procent är antalet arbetsplatser inom området större än antalet inom området bosatta sysselsatta personer. Om arbetsplatssufficiensen är mindre än 100 procent är förhållandet det omvända.
Årsbidrag,"Som befolkningsuppgift har man använt befolkningsmängden som bor i området vid respektive års slut. Årsbidraget anger hur mycket internt tillförda medel som återstår att användas för investeringar, placeringar och amorteringar efter det att de löpande utgifterna har betalats. Årsbidraget är en viktig indikator när det gäller att bedöma den interna finansieringens tillräcklighet. Grundantagandet är att den interna finansieringen är tillräcklig, om årsbidraget är minst lika stort som avskrivningarna på anläggningstillgångarna. Källa: Kommunekonomi, Statistikcentralen."
Lånestock,"Som befolkningsuppgift har man använt befolkningsmängden som bor i området vid respektive års slut. Med lånestock avses: Främmande kapital - (Erhållna förskott + Leverantörsskulder + Resultatregleringar + Övriga skulder) i kommunens balansräkning. Med kommunens lånestock avses räntebelagt främmande kapital. Källa: Kommunekonomi, Statistikcentralen."
Koncernens årsbidrag,"Som befolkningsuppgift har man använt befolkningsmängden som bor i området vid respektive års slut. Årsbidraget anger hur mycket internt tillförda medel som återstår att användas för investeringar, placeringar och amorteringar efter det att de löpande utgifterna har betalats. Årsbidraget är en viktig indikator när det gäller att bedöma den interna finansieringens tillräcklighet. Grundantagandet är att den interna finansieringen är tillräcklig, om årsbidraget är minst lika stort som avskrivningarna på anläggningstillgångarna. Källa: Kommunekonomi, Statistikcentralen."
Undervisnings- och kulturverksamhet totalt,"Som befolkningsuppgift har man använt befolkningsmängden som bor i området vid respektive års slut. Nettodriftskostnader = driftskostnader – driftsintäkter. Driftsintäkter = verksamhetsintäkter totalt +  förändringar av produktlager + tillverkning för eget bruk + överföringsinkomster. Källa: Kommunekonomi, Statistikcentralen."
Social- och hälsovård totalt,"Som befolkningsuppgift har man använt befolkningsmängden som bor i området vid respektive års slut. Nettodriftskostnader = driftskostnader – driftsintäkter. Driftskostnader = verksamhetskostnader totalt + avskrivningar och nedskrivningar + överföringsutgifter. Källa: Kommunekonomi, Statistikcentralen."
